State,TRI_Air_Emissions_14_in_lbs,TRI_Air_Emissions_13_in_lbs,TRI_Air_Emissions_12_in_lbs,TRI_Air_Emissions_11_in_lbs,TRI_Air_Emissions_10_in_lbs,GHG_Direct_Emissions_14_in_metric_tons,GHG_Direct_Emissions_13_in_metric_tons,GHG_Direct_Emissions_12_in_metric_tons,GHG_Direct_Emissions_11_in_metric_tons,GHG_Direct_Emissions_10_in_metric_tons
Alaska,355046.29,525720,440116,581285,427117,18081049,18753093,18997139,18757232,17135359
Alabama,3037864,32631801,32941464,32412908,32915721,103946577,101760037,102923167,111704167,101687790
Arkansas,16386445.05,16330383,16446148,13564531,15568991,46882582,46725156,46965512,45776130,41743537
Arizona,2278255.254,2397325,1975548,2515943,2566402,61518755,61807359,59585063,59738660,61226416
California,8434081.456,7786055,7531438,6921933,8272730,115803085,111982419,111834779,99332417,105325528
Colorado,2220783.748,2178773,2236449,2367905,2310869,52042560,52391285,53439146,54042680,49583759
Connecticut,1018019.662,1126610,855672,915014,1057211,8933913,9028089,8735751,8583205,8524951
District of Columbia,434.12,424,11227,1358,1225,287854,264244,276563,303860,335906
Delaware,805128.685,976266,1031291,2268136,3380295,8160467,8140873,9060898,6642859,4629323
Florida,24991571.13,25233097,24744970,28184808,32948090,134677906,128701509,132718998,140672215,146258018
Georgia,40315401.24,43499274,42223005,42902811,46014173,78985192,73483514,74817276,87104775,96078017
Guam,296278.49,331079,352924,324795,400101,1248516,1322688,1065651,1318872,1270953
Hawaii,1566921,1727019,1874962,1837749,1738676,8483613,8273923,8897354,9363859,9151628
Iowa,18669861.88,19630790,20142752,18823297,17669798,54718081,53952255,56081472,59317700,61671199
Idaho,4748345.243,4394197,4580531,4091521,3796934,3724200,4289315,3304825,3015737,3181420
Illinois,28118591.46,28518286,29122336,27482667,27523769,131042489,133631476,127824957,133350371,130542186
Indiana,43760375.35,44353069,38215782,43301497,44185443,159617422,155582389,153902210,161665286,159493914
Kansas,10279925.91,10013044,10234071,9741450,9240093,45460280,46070591,44736016,48257581,48609590
Kentucky,39138828.64,40311717,40738522,47455592,58141771,110360627,109545874,110580007,121103288,113703723
Louisiana,50341815.72,51428445,51573198,47650236,47181041,137704495,136918033,140119079,143774057,130956006
Massachusetts,1335808.945,1275660,1534292,1814286,2530311,14330641,16103506,15636983,17980610,21602688
Maryland,5001548.785,4854475,5183280,6434169,6503400,25401527,22975065,24787581,28419758,31316289
Maine,3517978.032,4366792,4321285,4129262,4177406,4724300,4569728,5105033,5784159,5804741
Michigan,18073486.14,22906960,24428273,29780748,27283380,87689291,91681750,92287615,94176515,99057239
Minnesota,10009032.29,9107488,9135330,7928933,8885187,47009194,43077897,42767931,46766368,46452416
Montana,9869296.022,10079425,9839627,10514750,11178569,86527229,89684991,88299424,95073438,91650625
Northern Mariana Islands,15549,15257,78913,4648,16622,0,0,0,0,0
Mississippi,25344368.74,24670992,20369361,19824512,18825949,37810897,35890436,36650496,35824180,39615167
Montana,2037712.14,1896514,1780748,1533160,1813145,22380566,21713026,20959247,21664065,25012719
North Carolina,22966484.02,24327525,25618177,24936192,28866866,67075008,65287555,69292877,70587292,79548614
North Dakota,22894823.1,25222574,14796782,3349334,4017078,36334448,36609476,37580928,36858876,37448032
Nebraska,5490213.447,4956883,4816151,5090488,5694183,32226348,33745883,32138604,33443797,31086002
New Hampshire,440019.0661,594365,588050,1938806,3063489,3770360,3936268,4811166,5681177,6017624
New Jersey,2091432.184,2036334,2048994,2068774,3723330,26408538,23725831,24458830,25572491,26622007
New Mexico,759066.7,1105974,914330,956611,1060025,34892277,38575799,39420736,40931129,35827763
Nevada,1510611.79,1268048,1255508,1265070,1312159,19642500,19083525,18163744,17943521,20032275
New York,6091610.765,6413891,6610645,7514380,7861915,43172444,42618847,45244179,46380763,49961039
Ohio,46417743.89,47125095,47009735,56501010,60114771,137737337,136924002,132526190,145656652,151541808
Oklahoma,12834117.04,13021303,19770043,19175091,18467964,66954969,68525325,71304579,72047734,69072744
Oregon,6584784.605,6545830,6621284,6359388,6268650,12422317,13328300,11330139,10611570,13611272
Pennsylvania,28078452.29,26600214,25304622,29829928,34798076,136820895,136593277,132013761,138548958,138463100
Puerto Rico,1869046.659,3225905,3677334,3923439,4282584,16342727,16640279,18268341,19350167,18843066
Rhode Island,156036.4009,136806,95934,110000,155924,2822866,2858963,3835681,3903109,3642999
South Carolina,26501688.82,26529807,26468804,28941190,30248889,42729244,38519092,43724240,47923183,50504892
South Dakota,1257373.35,1358338,1246750,1300225,1346668,6376918,6113567,5754258,5670324,6217039
Tennessee,28758305.3,28499219,27597992,30931844,31779783,53012891,50449483,54106798,55935163,57167084
Texas,60630188.1,62197858,63512469,60619492,61023689,408071503,406542539,394228150,407577951,386755092
Utah,6484956.374,6136279,8103709,11473329,8510919,43600217,44384587,41101879,42645427,41410582
Virginia,23129401.59,22287988,20577291,22766857,25705548,49159854,47377200,41080410,45134796,46300705
U.S. Virgin Islands,34470,21852,228109,1605275,515973,865800,918587,1579790,5492411,6327078
Vermont,31500.86,32065,34364,32163,27194,498063,528148,602923,652972,277228
Washington,9538448.505,9644239,9653413,8972016,8522444,25495655,25635771,19522635,20775422,25554251
Wisconsin,12324225.11,12698309,12599070,13317616,14052799,52131696,55982992,49738413,55402025,56034578
West Virginia,18232832.92,17303456,18056236,19556064,23021608,94504913,87584369,84673522,90111517,78569874
Wyoming,2037714.64,2189574,2391013,2750366,2048591,62545247,67356744,66493613,64184399,59517739
